date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:34	221/221	---MC-	200	added ('OK')	text/plain	date:Tue,%2022%20Oct%202019%2021:07:28%20GMT	http://bhatdental.com/robots.txt		(from )
17:08:35	31297/31297	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2021:07:28%20GMT	http://bhatdental.com/	C:/Temp/a2/BDA2/bhatdental.com/index.html	(from )
17:08:35	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2022%20Oct%202019%2021:07:29%20GMT	http://bhatdental.com/xmlrpc.php	C:/Temp/a2/BDA2/bhatdental.com/xmlrpc.php	(from http://bhatdental.com/)
17:08:36	137272/137272	---M--	200	added ('OK')	text/css	etag:%2221838-549cd75c235aa%22	http://bhatdental.com/wp-content/themes/appointwaytheme/style.css	C:/Temp/a2/BDA2/bhatdental.com/wp-content/themes/appointwaytheme/style.css	(from http://bhatdental.com/)
17:08:38	6470/6470	---M--	200	added ('OK')	text/css	etag:%221946-54864f02e6e47%22	http://bhatdental.com/wp-content/themes/appointwaytheme/css/shortcode.css?ver=4.7.2	C:/Temp/a2/BDA2/bhatdental.com/wp-content/themes/appointwaytheme/css/shortcodee100.css	(from http://bhatdental.com/)
17:08:38	741/741	---MC-	200	added ('OK')	application/rss+xml	etag:%226d080c5d66fe70ef51b0f8e0c3db0703%22	http://bhatdental.com/comments/feed/	C:/Temp/a2/BDA2/bhatdental.com/comments/feed/index.html	(from http://bhatdental.com/)
17:08:38	1103/1103	---M--	200	added ('OK')	text/css	etag:%2244f-548651a0293fe%22	http://bhatdental.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.0.1	C:/Temp/a2/BDA2/bhatdental.com/wp-content/plugins/contact-form-7/includes/css/stylesf39e.css	(from http://bhatdental.com/)
17:08:38	841/841	---M--	200	added ('OK')	text/css	etag:%22349-54940fbb4bcdb%22	http://bhatdental.com/wp-content/plugins/print-o-matic/css/style.css?ver=1.2	C:/Temp/a2/BDA2/bhatdental.com/wp-content/plugins/print-o-matic/css/style62ea.css	(from http://bhatdental.com/)
17:08:38	22084/22084	---M--	200	added ('OK')	text/css	etag:%225644-548651d5adc79%22	http://bhatdental.com/wp-content/plugins/font-awesome/assets/css/font-awesome.min.css?ver=3.2.1	C:/Temp/a2/BDA2/bhatdental.com/wp-content/plugins/font-awesome/assets/css/font-awesome.mindeae.css	(from http://bhatdental.com/)
17:08:39	3/3	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Oct%202019%2021:07:32%20GMT	http://bhatdental.com/wp-content/themes/appointwaytheme/lib/leads_form/js/%20lead_ajax.js?ver=4.7.2	C:/Temp/a2/BDA2/bhatdental.com/wp-content/themes/appointwaytheme/lib/leads_form/js/%20lead_ajaxe100.js	(from http://bhatdental.com/)
17:08:40	41675/41675	---MC-	200	added ('OK')	application/rss+xml	etag:%22d6f188382d7218d4136e2b1b371e5002%22	http://bhatdental.com/feed/	C:/Temp/a2/BDA2/bhatdental.com/feed/index.html	(from http://bhatdental.com/)
17:08:40	5592/5592	---M--	200	added ('OK')	application/javascript	etag:%2215d8-54940fbb4bcdb%22	http://bhatdental.com/wp-content/plugins/print-o-matic/printomat.js?ver=1.8.4	C:/Temp/a2/BDA2/bhatdental.com/wp-content/plugins/print-o-matic/printomat29af.js	(from http://bhatdental.com/)
17:08:41	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-54862ff32b6b3%22	http://bhatdental.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Temp/a2/BDA2/bhatdental.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://bhatdental.com/)
17:08:41	7506/7506	---M--	200	added ('OK')	application/javascript	etag:%221d52-54864f44cd6c0%22	http://bhatdental.com/wp-content/themes/appointwaytheme/js/ddsmoothmenu.js?ver=4.7.2	C:/Temp/a2/BDA2/bhatdental.com/wp-content/themes/appointwaytheme/js/ddsmoothmenue100.js	(from http://bhatdental.com/)
17:08:43	16917/16917	---M--	200	added ('OK')	application/javascript	etag:%224215-54864f47761a4%22	http://bhatdental.com/wp-content/themes/appointwaytheme/js/jquery.flexslider-min.js?ver=4.7.2	C:/Temp/a2/BDA2/bhatdental.com/wp-content/themes/appointwaytheme/js/jquery.flexslider-mine100.js	(from http://bhatdental.com/)
17:08:44	2523/2523	---M--	200	added ('OK')	application/javascript	etag:%229db-54864f448df19%22	http://bhatdental.com/wp-content/themes/appointwaytheme/js/custom.js?ver=4.7.2	C:/Temp/a2/BDA2/bhatdental.com/wp-content/themes/appointwaytheme/js/custome100.js	(from http://bhatdental.com/)
17:08:45	21078/21078	---M--	200	added ('OK')	application/javascript	etag:%225256-54864f4924c6f%22	http://bhatdental.com/wp-content/themes/appointwaytheme/js/jquery.validate.min.js?ver=4.7.2	C:/Temp/a2/BDA2/bhatdental.com/wp-content/themes/appointwaytheme/js/jquery.validate.mine100.js	(from http://bhatdental.com/)
17:08:45	818/818	---MC-	200	added ('OK')	text/xml	date:Tue,%2022%20Oct%202019%2021:07:38%20GMT	http://bhatdental.com/xmlrpc.php?rsd	C:/Temp/a2/BDA2/bhatdental.com/xmlrpc0db0.php	(from http://bhatdental.com/)
17:08:45	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-54862edf8155b%22	http://bhatdental.com/wp-includes/wlwmanifest.xml	C:/Temp/a2/BDA2/bhatdental.com/wp-includes/wlwmanifest.xml	(from http://bhatdental.com/)
17:08:46	35317/35317	---M--	200	added ('OK')	application/javascript	etag:%2289f5-54864f47ea50f%22	http://bhatdental.com/wp-content/themes/appointwaytheme/js/jquery.prettyPhoto.js?ver=4.7.2	C:/Temp/a2/BDA2/bhatdental.com/wp-content/themes/appointwaytheme/js/jquery.prettyPhotoe100.js	(from http://bhatdental.com/)
17:08:47	7530/7530	---M--	200	added ('OK')	image/png	etag:%221d6a-54864fefe64be%22	http://bhatdental.com/wp-content/uploads/2014/10/bhatdentalfavicon.png	C:/Temp/a2/BDA2/bhatdental.com/wp-content/uploads/2014/10/bhatdentalfavicon.png	(from http://bhatdental.com/)
17:08:50	24431/24431	---M--	200	added ('OK')	image/jpeg	etag:%225f6f-54864ff3baca0%22	http://bhatdental.com/wp-content/uploads/2014/10/bhatlogo1.jpg	C:/Temp/a2/BDA2/bhatdental.com/wp-content/uploads/2014/10/bhatlogo1.jpg	(from http://bhatdental.com/)
17:08:51	24966/24966	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2021:07:44%20GMT	http://bhatdental.com/services/	C:/Temp/a2/BDA2/bhatdental.com/services/index.html	(from http://bhatdental.com/)
17:08:53	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2217ba0-54862ff8e44c5%22	http://bhatdental.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Temp/a2/BDA2/bhatdental.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://bhatdental.com/)
17:08:54	25877/25877	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2021:07:47%20GMT	http://bhatdental.com/preventive-care/	C:/Temp/a2/BDA2/bhatdental.com/preventive-care/index.html	(from http://bhatdental.com/)
17:08:54	51705/51705	---MC-	200	added ('OK')	application/json	date:Tue,%2022%20Oct%202019%2021:07:39%20GMT	http://bhatdental.com/wp-json/	C:/Temp/a2/BDA2/bhatdental.com/wp-json/index.html	(from http://bhatdental.com/)
17:08:55	26457/26457	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2021:07:48%20GMT	http://bhatdental.com/education-centre/	C:/Temp/a2/BDA2/bhatdental.com/education-centre/index.html	(from http://bhatdental.com/)
17:08:55	50272/50272	---M--	200	added ('OK')	image/jpeg	etag:%22c460-5486504186509%22	http://bhatdental.com/wp-content/uploads/2014/10/slide6.jpg	C:/Temp/a2/BDA2/bhatdental.com/wp-content/uploads/2014/10/slide6.jpg	(from http://bhatdental.com/)
17:08:56	22627/22627	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202019%2021:07:49%20GMT	http://bhatdental.com/gallery/	C:/Temp/a2/BDA2/bhatdental.com/gallery/index.html	(from http://bhatdental.com/)
